,a,b,c
166,0,35,95
167,0,35,100
168,0,40,0
169,0,40,5
170,0,40,10
171,0,40,15
172,0,40,20
173,0,40,25
174,0,40,30
175,0,40,35
176,0,40,40
177,0,40,45
178,0,40,50
179,0,40,55
180,0,40,60
181,0,40,65
182,0,40,70
183,0,40,75
184,0,40,80
185,0,40,85
186,0,40,90
187,0,40,95
188,0,40,100
189,0,45,0
190,0,45,5
191,0,45,10
192,0,45,15
193,0,45,20
194,0,45,25
195,0,45,30
196,0,45,35
197,0,45,40
198,0,45,45
199,0,45,50
200,0,45,55
201,0,45,60
202,0,45,65
203,0,45,70
204,0,45,75
205,0,45,80
206,0,45,85
207,0,45,90
208,0,45,95
209,0,45,100
210,0,50,0
211,0,50,5
212,0,50,10
213,0,50,15
214,0,50,20
215,0,50,25
216,0,50,30
217,0,50,35
218,0,50,40
219,0,50,45
220,0,50,50
221,0,50,55
222,0,50,60
223,0,50,65
224,0,50,70
225,0,50,75
226,0,50,80
227,0,50,85
228,0,50,90
229,0,50,95
230,0,50,100
231,0,55,0
232,0,55,5
233,0,55,10
234,0,55,15
235,0,55,20
236,0,55,25
237,0,55,30
238,0,55,35
239,0,55,40
240,0,55,45
241,0,55,50
242,0,55,55
243,0,55,60
244,0,55,65
245,0,55,70
246,0,55,75
247,0,55,80
248,0,55,85
249,0,55,90
250,0,55,95
251,0,55,100
252,0,60,0
253,0,60,5
254,0,60,10
255,0,60,15
256,0,60,20
257,0,60,25
258,0,60,30
259,0,60,35
260,0,60,40
261,0,60,45
262,0,60,50
263,0,60,55
264,0,60,60
265,0,60,65
266,0,60,70
267,0,60,75
268,0,60,80
269,0,60,85
270,0,60,90
271,0,60,95
272,0,60,100
273,0,65,0
274,0,65,5
275,0,65,10
276,0,65,15
277,0,65,20
278,0,65,25
279,0,65,30
280,0,65,35
281,0,65,40
282,0,65,45
283,0,65,50
284,0,65,55
285,0,65,60
286,0,65,65
287,0,65,70
288,0,65,75
289,0,65,80
290,0,65,85
291,0,65,90
292,0,65,95
293,0,65,100
294,0,70,0
295,0,70,5
296,0,70,10
297,0,70,15
298,0,70,20
299,0,70,25
300,0,70,30
301,0,70,35
302,0,70,40
303,0,70,45
304,0,70,50
305,0,70,55
306,0,70,60
307,0,70,65
308,0,70,70
309,0,70,75
310,0,70,80
311,0,70,85
312,0,70,90
313,0,70,95
314,0,70,100
315,0,75,0
316,0,75,5
317,0,75,10
318,0,75,15
319,0,75,20
320,0,75,25
321,0,75,30
322,0,75,35
323,0,75,40
324,0,75,45
325,0,75,50
326,0,75,55
327,0,75,60
328,0,75,65
329,0,75,70
330,0,75,75
331,0,75,80
332,0,75,85
333,0,75,90
334,0,75,95
335,0,75,100
336,0,80,0
337,0,80,5
338,0,80,10
339,0,80,15
340,0,80,20
341,0,80,25
342,0,80,30
343,0,80,35
344,0,80,40
345,0,80,45
346,0,80,50
347,0,80,55
348,0,80,60
349,0,80,65
350,0,80,70
351,0,80,75
352,0,80,80
353,0,80,85
354,0,80,90
355,0,80,95
356,0,80,100
357,0,85,0
358,0,85,5
359,0,85,10
360,0,85,15
361,0,85,20
362,0,85,25
363,0,85,30
364,0,85,35
365,0,85,40
366,0,85,45
367,0,85,50
368,0,85,55
369,0,85,60
370,0,85,65
371,0,85,70
372,0,85,75
373,0,85,80
374,0,85,85
375,0,85,90
376,0,85,95
377,0,85,100
378,0,90,0
379,0,90,5
380,0,90,10
381,0,90,15
382,0,90,20
383,0,90,25
384,0,90,30
385,0,90,35
386,0,90,40
387,0,90,45
388,0,90,50
389,0,90,55
390,0,90,60
391,0,90,65
392,0,90,70
393,0,90,75
394,0,90,80
395,0,90,85
396,0,90,90
397,0,90,95
398,0,90,100
399,0,95,0
400,0,95,5
401,0,95,10
402,0,95,15
403,0,95,20
404,0,95,25
405,0,95,30
406,0,95,35
407,0,95,40
408,0,95,45
409,0,95,50
410,0,95,55
411,0,95,60
412,0,95,65
413,0,95,70
414,0,95,75
415,0,95,80
416,0,95,85
417,0,95,90
418,0,95,95
419,0,95,100
420,0,100,0
421,0,100,5
422,0,100,10
423,0,100,15
424,0,100,20
425,0,100,25
426,0,100,30
427,0,100,35
428,0,100,40
429,0,100,45
430,0,100,50
431,0,100,55
432,0,100,60
433,0,100,65
434,0,100,70
435,0,100,75
436,0,100,80
437,0,100,85
438,0,100,90
439,0,100,95
440,0,100,100
441,5,0,0
442,5,0,5
443,5,0,10
444,5,0,15
445,5,0,20
446,5,0,25
447,5,0,30
448,5,0,35
449,5,0,40
450,5,0,45
451,5,0,50
452,5,0,55
453,5,0,60
454,5,0,65
455,5,0,70
456,5,0,75
457,5,0,80
458,5,0,85
459,5,0,90
460,5,0,95
461,5,0,100
462,5,5,0
463,5,5,5
464,5,5,10
465,5,5,15
466,5,5,20
467,5,5,25
468,5,5,30
469,5,5,35
470,5,5,40
471,5,5,45
472,5,5,50
473,5,5,55
474,5,5,60
475,5,5,65
476,5,5,70
477,5,5,75
478,5,5,80
479,5,5,85
480,5,5,90
481,5,5,95
482,5,5,100
483,5,10,0
484,5,10,5
485,5,10,10
486,5,10,15
487,5,10,20
488,5,10,25
489,5,10,30
490,5,10,35
491,5,10,40
492,5,10,45
493,5,10,50
494,5,10,55
495,5,10,60
496,5,10,65
497,5,10,70
498,5,10,75
499,5,10,80
500,5,10,85
501,5,10,90
502,5,10,95
503,5,10,100
504,5,15,0
505,5,15,5
506,5,15,10
507,5,15,15
508,5,15,20
509,5,15,25
510,5,15,30
511,5,15,35
512,5,15,40
513,5,15,45
514,5,15,50
515,5,15,55
516,5,15,60
517,5,15,65
518,5,15,70
519,5,15,75
520,5,15,80
521,5,15,85
522,5,15,90
523,5,15,95
524,5,15,100
525,5,20,0
526,5,20,5
527,5,20,10
528,5,20,15
529,5,20,20
530,5,20,25
531,5,20,30
532,5,20,35
533,5,20,40
534,5,20,45
535,5,20,50
536,5,20,55
537,5,20,60
538,5,20,65
539,5,20,70
540,5,20,75
541,5,20,80
542,5,20,85
543,5,20,90
544,5,20,95
545,5,20,100
546,5,25,0
547,5,25,5
548,5,25,10
549,5,25,15
550,5,25,20
551,5,25,25
552,5,25,30
553,5,25,35
554,5,25,40
555,5,25,45
556,5,25,50
557,5,25,55
558,5,25,60
559,5,25,65
560,5,25,70
561,5,25,75
562,5,25,80
563,5,25,85
564,5,25,90
565,5,25,95
566,5,25,100
567,5,30,0
568,5,30,5
569,5,30,10
570,5,30,15
571,5,30,20
572,5,30,25
573,5,30,30
574,5,30,35
575,5,30,40
576,5,30,45
577,5,30,50
578,5,30,55
579,5,30,60
580,5,30,65
581,5,30,70
582,5,30,75
583,5,30,80
584,5,30,85
585,5,30,90
586,5,30,95
587,5,30,100
588,5,35,0
589,5,35,5
590,5,35,10
591,5,35,15
592,5,35,20
593,5,35,25
594,5,35,30
595,5,35,35
596,5,35,40
597,5,35,45
598,5,35,50
599,5,35,55
600,5,35,60
601,5,35,65
602,5,35,70
603,5,35,75
604,5,35,80
605,5,35,85
606,5,35,90
607,5,35,95
608,5,35,100
609,5,40,0
610,5,40,5
611,5,40,10
612,5,40,15
613,5,40,20
614,5,40,25
615,5,40,30
616,5,40,35
617,5,40,40
618,5,40,45
619,5,40,50
620,5,40,55
621,5,40,60
622,5,40,65
623,5,40,70
624,5,40,75
625,5,40,80
626,5,40,85
627,5,40,90
628,5,40,95
629,5,40,100
630,5,45,0
631,5,45,5
632,5,45,10
633,5,45,15
634,5,45,20
635,5,45,25
636,5,45,30
637,5,45,35
638,5,45,40
639,5,45,45
640,5,45,50
641,5,45,55
642,5,45,60
643,5,45,65
644,5,45,70
645,5,45,75
646,5,45,80
647,5,45,85
648,5,45,90
649,5,45,95
650,5,45,100
651,5,50,0
652,5,50,5
653,5,50,10
654,5,50,15
655,5,50,20
656,5,50,25
657,5,50,30
658,5,50,35
659,5,50,40
660,5,50,45
661,5,50,50
662,5,50,55
663,5,50,60
664,5,50,65
665,5,50,70
666,5,50,75
667,5,50,80
668,5,50,85
669,5,50,90
670,5,50,95
671,5,50,100
672,5,55,0
673,5,55,5
674,5,55,10
675,5,55,15
676,5,55,20
677,5,55,25
678,5,55,30
679,5,55,35
680,5,55,40
681,5,55,45
682,5,55,50
683,5,55,55
684,5,55,60
685,5,55,65
686,5,55,70
687,5,55,75
688,5,55,80
689,5,55,85
690,5,55,90
691,5,55,95
692,5,55,100
693,5,60,0
694,5,60,5
695,5,60,10
696,5,60,15
697,5,60,20
698,5,60,25
699,5,60,30
700,5,60,35
701,5,60,40
702,5,60,45
703,5,60,50
704,5,60,55
705,5,60,60
706,5,60,65
707,5,60,70
708,5,60,75
709,5,60,80
710,5,60,85
711,5,60,90
712,5,60,95
713,5,60,100
714,5,65,0
715,5,65,5
716,5,65,10
717,5,65,15
718,5,65,20
719,5,65,25
720,5,65,30
721,5,65,35
722,5,65,40
723,5,65,45
724,5,65,50
725,5,65,55
726,5,65,60
727,5,65,65
728,5,65,70
729,5,65,75
730,5,65,80
731,5,65,85
732,5,65,90
733,5,65,95
734,5,65,100
735,5,70,0
736,5,70,5
737,5,70,10
738,5,70,15
739,5,70,20
740,5,70,25
741,5,70,30
742,5,70,35
743,5,70,40
744,5,70,45
745,5,70,50
746,5,70,55
747,5,70,60
748,5,70,65
749,5,70,70
750,5,70,75
751,5,70,80
752,5,70,85
753,5,70,90
754,5,70,95
755,5,70,100
756,5,75,0
757,5,75,5
758,5,75,10
759,5,75,15
760,5,75,20
761,5,75,25
762,5,75,30
763,5,75,35
764,5,75,40
765,5,75,45
766,5,75,50
767,5,75,55
768,5,75,60
769,5,75,65
770,5,75,70
771,5,75,75
772,5,75,80
773,5,75,85
774,5,75,90
775,5,75,95
776,5,75,100
777,5,80,0
778,5,80,5
779,5,80,10
780,5,80,15
781,5,80,20
782,5,80,25
783,5,80,30
784,5,80,35
785,5,80,40
786,5,80,45
787,5,80,50
788,5,80,55
789,5,80,60
790,5,80,65
791,5,80,70
792,5,80,75
793,5,80,80
794,5,80,85
795,5,80,90
796,5,80,95
797,5,80,100
798,5,85,0
799,5,85,5
800,5,85,10
801,5,85,15
802,5,85,20
803,5,85,25
804,5,85,30
805,5,85,35
806,5,85,40
807,5,85,45
808,5,85,50
809,5,85,55
810,5,85,60
811,5,85,65
812,5,85,70
813,5,85,75
814,5,85,80
815,5,85,85
816,5,85,90
817,5,85,95
818,5,85,100
819,5,90,0
820,5,90,5
821,5,90,10
822,5,90,15
823,5,90,20
824,5,90,25
825,5,90,30
826,5,90,35
827,5,90,40
828,5,90,45
829,5,90,50
830,5,90,55
831,5,90,60
832,5,90,65
833,5,90,70
834,5,90,75
835,5,90,80
836,5,90,85
837,5,90,90
838,5,90,95
839,5,90,100
840,5,95,0
841,5,95,5
842,5,95,10
843,5,95,15
844,5,95,20
845,5,95,25
846,5,95,30
847,5,95,35
848,5,95,40
849,5,95,45
850,5,95,50
851,5,95,55
852,5,95,60
853,5,95,65
854,5,95,70
855,5,95,75
856,5,95,80
857,5,95,85
858,5,95,90
859,5,95,95
860,5,95,100
861,5,100,0
862,5,100,5
863,5,100,10
864,5,100,15
865,5,100,20
866,5,100,25
867,5,100,30
868,5,100,35
869,5,100,40
870,5,100,45
871,5,100,50
872,5,100,55
873,5,100,60
874,5,100,65
875,5,100,70
876,5,100,75
877,5,100,80
878,5,100,85
879,5,100,90
880,5,100,95
881,5,100,100
882,10,0,0
883,10,0,5
884,10,0,10
885,10,0,15
886,10,0,20
887,10,0,25
888,10,0,30
889,10,0,35
890,10,0,40
891,10,0,45
892,10,0,50
893,10,0,55
894,10,0,60
895,10,0,65
896,10,0,70
897,10,0,75
898,10,0,80
899,10,0,85
900,10,0,90
901,10,0,95
902,10,0,100
903,10,5,0
904,10,5,5
905,10,5,10
906,10,5,15
907,10,5,20
908,10,5,25
909,10,5,30
910,10,5,35
911,10,5,40
912,10,5,45
913,10,5,50
914,10,5,55
915,10,5,60
916,10,5,65
917,10,5,70
918,10,5,75
919,10,5,80
920,10,5,85
921,10,5,90
922,10,5,95
923,10,5,100
924,10,10,0
925,10,10,5
926,10,10,10
927,10,10,15
928,10,10,20
929,10,10,25
930,10,10,30
931,10,10,35
932,10,10,40
933,10,10,45
934,10,10,50
935,10,10,55
936,10,10,60
937,10,10,65
938,10,10,70
939,10,10,75
940,10,10,80
941,10,10,85
942,10,10,90
943,10,10,95
944,10,10,100
945,10,15,0
946,10,15,5
947,10,15,10
948,10,15,15
949,10,15,20
950,10,15,25
951,10,15,30
952,10,15,35
953,10,15,40
954,10,15,45
955,10,15,50
956,10,15,55
957,10,15,60
958,10,15,65
959,10,15,70
960,10,15,75
961,10,15,80
962,10,15,85
963,10,15,90
964,10,15,95
965,10,15,100
966,10,20,0
967,10,20,5
968,10,20,10
969,10,20,15
970,10,20,20
971,10,20,25
972,10,20,30
973,10,20,35
974,10,20,40
975,10,20,45
976,10,20,50
977,10,20,55
978,10,20,60
979,10,20,65
980,10,20,70
981,10,20,75
982,10,20,80
983,10,20,85
984,10,20,90
985,10,20,95
986,10,20,100
987,10,25,0
988,10,25,5
989,10,25,10
990,10,25,15
991,10,25,20
992,10,25,25
993,10,25,30
994,10,25,35
995,10,25,40
996,10,25,45
997,10,25,50
998,10,25,55
999,10,25,60
1000,10,25,65
1001,10,25,70
1002,10,25,75
1003,10,25,80
1004,10,25,85
1005,10,25,90
1006,10,25,95
1007,10,25,100
1008,10,30,0
1009,10,30,5
1010,10,30,10
1011,10,30,15
1012,10,30,20
1013,10,30,25
1014,10,30,30
1015,10,30,35
1016,10,30,40
1017,10,30,45
1018,10,30,50
1019,10,30,55
1020,10,30,60
1021,10,30,65
1022,10,30,70
1023,10,30,75
1024,10,30,80
1025,10,30,85
1026,10,30,90
1027,10,30,95
1028,10,30,100
1029,10,35,0
1030,10,35,5
1031,10,35,10
1032,10,35,15
1033,10,35,20
1034,10,35,25
1035,10,35,30
1036,10,35,35
1037,10,35,40
1038,10,35,45
1039,10,35,50
1040,10,35,55
1041,10,35,60
1042,10,35,65
1043,10,35,70
1044,10,35,75
1045,10,35,80
1046,10,35,85
1047,10,35,90
1048,10,35,95
1049,10,35,100
1050,10,40,0
1051,10,40,5
1052,10,40,10
1053,10,40,15
1054,10,40,20
1055,10,40,25
1056,10,40,30
1057,10,40,35
1058,10,40,40
1059,10,40,45
1060,10,40,50
1061,10,40,55
1062,10,40,60
1063,10,40,65
1064,10,40,70
1065,10,40,75
1066,10,40,80
1067,10,40,85
1068,10,40,90
1069,10,40,95
1070,10,40,100
1071,10,45,0
1072,10,45,5
1073,10,45,10
1074,10,45,15
1075,10,45,20
1076,10,45,25
1077,10,45,30
1078,10,45,35
1079,10,45,40
1080,10,45,45
1081,10,45,50
1082,10,45,55
1083,10,45,60
1084,10,45,65
1085,10,45,70
1086,10,45,75
1087,10,45,80
1088,10,45,85
1089,10,45,90
1090,10,45,95
1091,10,45,100
1092,10,50,0
1093,10,50,5
1094,10,50,10
1095,10,50,15
1096,10,50,20
1097,10,50,25
1098,10,50,30
1099,10,50,35
1100,10,50,40
1101,10,50,45
1102,10,50,50
1103,10,50,55
1104,10,50,60
1105,10,50,65
1106,10,50,70
1107,10,50,75
1108,10,50,80
1109,10,50,85
1110,10,50,90
1111,10,50,95
1112,10,50,100
1113,10,55,0
1114,10,55,5
1115,10,55,10
1116,10,55,15
1117,10,55,20
1118,10,55,25
1119,10,55,30
1120,10,55,35
1121,10,55,40
1122,10,55,45
1123,10,55,50
1124,10,55,55
1125,10,55,60
1126,10,55,65
1127,10,55,70
1128,10,55,75
1129,10,55,80
1130,10,55,85
1131,10,55,90
1132,10,55,95
1133,10,55,100
1134,10,60,0
1135,10,60,5
1136,10,60,10
1137,10,60,15
1138,10,60,20
1139,10,60,25
1140,10,60,30
1141,10,60,35
1142,10,60,40
1143,10,60,45
1144,10,60,50
1145,10,60,55
1146,10,60,60
1147,10,60,65
1148,10,60,70
1149,10,60,75
1150,10,60,80
1151,10,60,85
1152,10,60,90
1153,10,60,95
1154,10,60,100
1155,10,65,0
1156,10,65,5
1157,10,65,10
1158,10,65,15
1159,10,65,20
1160,10,65,25
1161,10,65,30
1162,10,65,35
1163,10,65,40
1164,10,65,45
1165,10,65,50
1166,10,65,55
1167,10,65,60
1168,10,65,65
1169,10,65,70
1170,10,65,75
1171,10,65,80
1172,10,65,85
1173,10,65,90
1174,10,65,95
1175,10,65,100
1176,10,70,0
1177,10,70,5
1178,10,70,10
1179,10,70,15
1180,10,70,20
1181,10,70,25
1182,10,70,30
1183,10,70,35
1184,10,70,40
1185,10,70,45
1186,10,70,50
1187,10,70,55
1188,10,70,60
1189,10,70,65
1190,10,70,70
1191,10,70,75
1192,10,70,80
1193,10,70,85
1194,10,70,90
1195,10,70,95
1196,10,70,100
1197,10,75,0
1198,10,75,5
1199,10,75,10
1200,10,75,15
1201,10,75,20
1202,10,75,25
1203,10,75,30
1204,10,75,35
1205,10,75,40
1206,10,75,45
1207,10,75,50
1208,10,75,55
1209,10,75,60
1210,10,75,65
1211,10,75,70
1212,10,75,75
1213,10,75,80
1214,10,75,85
1215,10,75,90
1216,10,75,95
1217,10,75,100
1218,10,80,0
1219,10,80,5
1220,10,80,10
1221,10,80,15
1222,10,80,20
1223,10,80,25
1224,10,80,30
1225,10,80,35
1226,10,80,40
1227,10,80,45
1228,10,80,50
1229,10,80,55
1230,10,80,60
1231,10,80,65
1232,10,80,70
1233,10,80,75
1234,10,80,80
1235,10,80,85
1236,10,80,90
1237,10,80,95
1238,10,80,100
1239,10,85,0
1240,10,85,5
1241,10,85,10
1242,10,85,15
1243,10,85,20
1244,10,85,25
1245,10,85,30
1246,10,85,35
1247,10,85,40
1248,10,85,45
1249,10,85,50
1250,10,85,55
1251,10,85,60
1252,10,85,65
1253,10,85,70
1254,10,85,75
1255,10,85,80
1256,10,85,85
1257,10,85,90
1258,10,85,95
1259,10,85,100
1260,10,90,0
1261,10,90,5
1262,10,90,10
1263,10,90,15
1264,10,90,20
1265,10,90,25
1266,10,90,30
1267,10,90,35
1268,10,90,40
1269,10,90,45
1270,10,90,50
1271,10,90,55
1272,10,90,60
1273,10,90,65
1274,10,90,70
1275,10,90,75
1276,10,90,80
1277,10,90,85
1278,10,90,90
1279,10,90,95
1280,10,90,100
1281,10,95,0
1282,10,95,5
1283,10,95,10
1284,10,95,15
1285,10,95,20
1286,10,95,25
1287,10,95,30
1288,10,95,35
1289,10,95,40
1290,10,95,45
1291,10,95,50
1292,10,95,55
1293,10,95,60
1294,10,95,65
1295,10,95,70
1296,10,95,75
1297,10,95,80
1298,10,95,85
1299,10,95,90
1300,10,95,95
1301,10,95,100
1302,10,100,0
1303,10,100,5
1304,10,100,10
1305,10,100,15
1306,10,100,20
1307,10,100,25
1308,10,100,30
1309,10,100,35
1310,10,100,40
1311,10,100,45
1312,10,100,50
1313,10,100,55
1314,10,100,60
1315,10,100,65
1316,10,100,70
1317,10,100,75
1318,10,100,80
1319,10,100,85
1320,10,100,90
1321,10,100,95
1322,10,100,100
1323,15,0,0
1324,15,0,5
1325,15,0,10
1326,15,0,15
1327,15,0,20
1328,15,0,25
1329,15,0,30
1330,15,0,35
1331,15,0,40
1332,15,0,45
1333,15,0,50
1334,15,0,55
1335,15,0,60
1336,15,0,65
1337,15,0,70
1338,15,0,75
1339,15,0,80
1340,15,0,85
1341,15,0,90
1342,15,0,95
1343,15,0,100
1344,15,5,0
1345,15,5,5
1346,15,5,10
1347,15,5,15
1348,15,5,20
1349,15,5,25
1350,15,5,30
1351,15,5,35
1352,15,5,40
1353,15,5,45
1354,15,5,50
1355,15,5,55
1356,15,5,60
1357,15,5,65
1358,15,5,70
1359,15,5,75
1360,15,5,80
1361,15,5,85
1362,15,5,90
1363,15,5,95
1364,15,5,100
1365,15,10,0
1366,15,10,5
1367,15,10,10
1368,15,10,15
1369,15,10,20
1370,15,10,25
1371,15,10,30
1372,15,10,35
1373,15,10,40
1374,15,10,45
1375,15,10,50
1376,15,10,55
1377,15,10,60
1378,15,10,65
1379,15,10,70
1380,15,10,75
1381,15,10,80
1382,15,10,85
1383,15,10,90
1384,15,10,95
1385,15,10,100
1386,15,15,0
1387,15,15,5
1388,15,15,10
1389,15,15,15
1390,15,15,20
1391,15,15,25
1392,15,15,30
1393,15,15,35
1394,15,15,40
1395,15,15,45
1396,15,15,50
1397,15,15,55
1398,15,15,60
1399,15,15,65
1400,15,15,70
1401,15,15,75
1402,15,15,80
1403,15,15,85
1404,15,15,90
1405,15,15,95
1406,15,15,100
1407,15,20,0
1408,15,20,5
1409,15,20,10
1410,15,20,15
1411,15,20,20
1412,15,20,25
1413,15,20,30
1414,15,20,35
1415,15,20,40
1416,15,20,45
1417,15,20,50
1418,15,20,55
1419,15,20,60
1420,15,20,65
1421,15,20,70
1422,15,20,75
1423,15,20,80
1424,15,20,85
1425,15,20,90
1426,15,20,95
1427,15,20,100
1428,15,25,0
1429,15,25,5
1430,15,25,10
1431,15,25,15
1432,15,25,20
1433,15,25,25
1434,15,25,30
1435,15,25,35
1436,15,25,40
1437,15,25,45
1438,15,25,50
1439,15,25,55
1440,15,25,60
1441,15,25,65
1442,15,25,70
1443,15,25,75
1444,15,25,80
1445,15,25,85
1446,15,25,90
1447,15,25,95
1448,15,25,100
1449,15,30,0
1450,15,30,5
1451,15,30,10
1452,15,30,15
1453,15,30,20
1454,15,30,25
1455,15,30,30
1456,15,30,35
1457,15,30,40
1458,15,30,45
1459,15,30,50
1460,15,30,55
1461,15,30,60
1462,15,30,65
1463,15,30,70
1464,15,30,75
1465,15,30,80
1466,15,30,85
1467,15,30,90
1468,15,30,95
1469,15,30,100
1470,15,35,0
1471,15,35,5
1472,15,35,10
1473,15,35,15
1474,15,35,20
1475,15,35,25
1476,15,35,30
1477,15,35,35
1478,15,35,40
1479,15,35,45
1480,15,35,50
1481,15,35,55
1482,15,35,60
1483,15,35,65
1484,15,35,70
1485,15,35,75
1486,15,35,80
1487,15,35,85
1488,15,35,90
1489,15,35,95
1490,15,35,100
1491,15,40,0
1492,15,40,5
1493,15,40,10
1494,15,40,15
1495,15,40,20
1496,15,40,25
1497,15,40,30
1498,15,40,35
1499,15,40,40
1500,15,40,45
1501,15,40,50
1502,15,40,55
1503,15,40,60
1504,15,40,65
1505,15,40,70
1506,15,40,75
1507,15,40,80
1508,15,40,85
1509,15,40,90
1510,15,40,95
1511,15,40,100
1512,15,45,0
1513,15,45,5
1514,15,45,10
1515,15,45,15
1516,15,45,20
1517,15,45,25
1518,15,45,30
1519,15,45,35
1520,15,45,40
1521,15,45,45
1522,15,45,50
1523,15,45,55
1524,15,45,60
1525,15,45,65
1526,15,45,70
1527,15,45,75
1528,15,45,80
1529,15,45,85
1530,15,45,90
1531,15,45,95
1532,15,45,100
1533,15,50,0
1534,15,50,5
1535,15,50,10
1536,15,50,15
1537,15,50,20
1538,15,50,25
1539,15,50,30
1540,15,50,35
1541,15,50,40
1542,15,50,45
1543,15,50,50
1544,15,50,55
1545,15,50,60
1546,15,50,65
1547,15,50,70
1548,15,50,75
1549,15,50,80
1550,15,50,85
1551,15,50,90
1552,15,50,95
1553,15,50,100
1554,15,55,0
1555,15,55,5
1556,15,55,10
1557,15,55,15
1558,15,55,20
1559,15,55,25
1560,15,55,30
1561,15,55,35
1562,15,55,40
1563,15,55,45
1564,15,55,50
1565,15,55,55
1566,15,55,60
1567,15,55,65
1568,15,55,70
1569,15,55,75
1570,15,55,80
1571,15,55,85
1572,15,55,90
1573,15,55,95
1574,15,55,100
1575,15,60,0
1576,15,60,5
1577,15,60,10
1578,15,60,15
1579,15,60,20
1580,15,60,25
1581,15,60,30
1582,15,60,35
1583,15,60,40
1584,15,60,45
1585,15,60,50
1586,15,60,55
1587,15,60,60
1588,15,60,65
1589,15,60,70
1590,15,60,75
1591,15,60,80
1592,15,60,85
1593,15,60,90
1594,15,60,95
1595,15,60,100
1596,15,65,0
1597,15,65,5
1598,15,65,10
1599,15,65,15
1600,15,65,20
1601,15,65,25
1602,15,65,30
1603,15,65,35
1604,15,65,40
1605,15,65,45
1606,15,65,50
1607,15,65,55
1608,15,65,60
1609,15,65,65
1610,15,65,70
1611,15,65,75
1612,15,65,80
1613,15,65,85
1614,15,65,90
1615,15,65,95
1616,15,65,100
1617,15,70,0
1618,15,70,5
1619,15,70,10
1620,15,70,15
1621,15,70,20
1622,15,70,25
1623,15,70,30
1624,15,70,35
1625,15,70,40
1626,15,70,45
1627,15,70,50
1628,15,70,55
1629,15,70,60
1630,15,70,65
1631,15,70,70
1632,15,70,75
1633,15,70,80
1634,15,70,85
1635,15,70,90
1636,15,70,95
1637,15,70,100
1638,15,75,0
1639,15,75,5
1640,15,75,10
1641,15,75,15
1642,15,75,20
1643,15,75,25
1644,15,75,30
1645,15,75,35
1646,15,75,40
1647,15,75,45
1648,15,75,50
1649,15,75,55
1650,15,75,60
1651,15,75,65
1652,15,75,70
1653,15,75,75
1654,15,75,80
1655,15,75,85
1656,15,75,90
1657,15,75,95
1658,15,75,100
1659,15,80,0
1660,15,80,5
1661,15,80,10
1662,15,80,15
1663,15,80,20
1664,15,80,25
